dataset,taxa,sites,windows,taxa_sites,estimate_seconds,estimate_minutes,estimate_hours,low_seconds,high_seconds
100505753_NT_AL,141,3372,14,475452,2677.4700169517205,44.62450028252867,0.7437416713754779,2495.9829802828317,3210.8142680356164
100505876_NT_AL,128,240,1,30720,172.99722983762157,2.8832871639603597,0.048054786066005994,161.27095301794625,207.45777557787986
100505993_NT_AL,143,507,2,72501,408.28359897322275,6.804726649553713,0.11341211082589521,380.6088985922566,489.6125060928342
100506013_NT_AL,151,162,1,24462,137.75580196249672,2.2959300327082786,0.03826550054513798,128.418295987142,165.19635762324535
100506049_NT_AL,157,798,4,125286,705.5381164530031,11.758968607550052,0.1959828101258342,657.7146035093234,846.0792601253338
100506374_NT_AL,28,489,2,13692,77.10540595497118,1.2850900992495196,0.021418168320825326,71.87896773182683,92.46457888060974
100506564_NT_AL,156,1665,7,259740,1462.7050936856715,24.378418228094525,0.4063069704682421,1363.5585070599402,1754.0717001496912
100506581_NT_AL,134,723,3,96882,545.5832558961085,9.093054264935143,0.15155090441558572,508.60196843374575,654.2618559093801
100506658_NT_AL,157,1641,7,257637,1450.862216916514,24.181036948608565,0.4030172824768094,1352.5183763894734,1739.8697567239008
100507003_NT_AL,148,2055,9,304140,1712.740152435359,28.545669207255983,0.4757611534542664,1596.6454313436907,2053.913016414596
100507027_NT_AL,141,138,1,19458,109.57617507097788,1.826269584516298,0.030437826408604967,102.14876965570308,131.40343089825475
100507096_NT_AL,158,660,3,104280,587.2445028472389,9.787408380787316,0.1631234730131219,547.4392897367004,704.2219022546
100507290_NT_AL,138,3915,16,540270,3042.4874142048116,50.70812357008019,0.8451353928346699,2836.258391504096,3648.5420706855843
100507341_NT_AL,154,285,2,43890,247.1630344262113,4.119383907103522,0.06865639845172536,230.40957447778845,296.39719303753736
100507537_NT_AL,86,105,1,9030,50.851724786253996,0.8475287464375666,0.014125479107292777,47.40484068203303,60.98124067279476
100507588_NT_AL,139,903,4,125517,706.8389745289306,11.780649575482178,0.1963441595913696,658.9272854802591,847.6392453518472
100507650_NT_AL,160,936,4,149760,843.3614954584052,14.056024924306753,0.23426708207177924,786.1958959624881,1011.3566559421644
100507747_NT_AL,107,699,3,74793,421.190814168139,7.019846902802317,0.11699744838003862,392.6412236025799,505.0908010675901
10050_NT_AL,127,1506,6,191262,1077.0766983464575,17.95127830577429,0.29918797176290485,1004.0691737017721,1291.6272484562649
10051_NT_AL,160,3912,16,625920,3524.81855794154,58.74697596569233,0.9791162660948722,3285.895667740655,4226.952177399302
10052_NT_AL,161,1197,5,192717,1085.2704147987279,18.087840246645463,0.30146400411075774,1011.7074952070166,1301.4531294284593
100533177_NT_AL,141,1017,4,143397,807.5287684578587,13.458812807630979,0.22431354679384966,752.7920198539857,968.3861537936601
10054_NT_AL,160,1941,8,310560,1748.8938703897056,29.14823117316176,0.48580385288602934,1630.3485406658006,2097.268449982629
10056_NT_AL,161,1773,7,285453,1607.505802371048,26.791763372850802,0.44652938954751337,1498.5441846299418,1927.7162894541843
10057_NT_AL,156,4320,17,673920,3795.1267295628236,63.252112159380395,1.0542018693230066,3537.8815318311963,4551.10495173974
1005_NT_AL,158,2364,10,373512,2103.403037471019,35.05671729118365,0.5842786215197275,1960.828001420545,2522.3948135301125
10060_NT_AL,159,4770,19,758430,4271.038054223546,71.18396757039244,1.1863994595065406,3981.534143795605,5121.816430062871
