dataset,taxa,sites,windows,taxa_sites,cpu_seconds,gpu_seconds
10246_NT_AL,130,1452,6,188760,1215.7476435195858,1062.9868849006982
1024_NT_AL,154,1416,6,218064,1404.4860888771718,1228.010023675492
10250_NT_AL,154,2817,12,433818,2794.0941471518313,2443.0114665917094
10251_NT_AL,155,879,4,136245,877.5139737832484,767.2528508862875
10252_NT_AL,149,1011,4,150639,970.2214943427997,848.31151385122
10253_NT_AL,160,972,4,155520,1001.6585797847318,875.7984760529592
10254_NT_AL,160,1620,7,259200,1669.4309663078864,1459.664126754932
10257_NT_AL,149,3996,16,595404,3834.822048856407,3352.9701378333084
10260_NT_AL,159,5898,24,937782,6039.978049560734,5281.044537486473
10261_NT_AL,158,756,3,119448,769.329436973551,672.6618850795645
10262_NT_AL,155,1272,5,197160,1269.8495729832673,1110.2908149344228
10266_NT_AL,153,633,3,96849,623.7759245985822,545.3974190281189
10269_NT_AL,162,1443,6,233766,1505.618052738925,1316.4345843171043
10270_NT_AL,158,2289,9,361662,2329.358573058807,2036.6707076020148
102723796_NT_AL,83,1335,6,110805,713.6624159789558,623.9895199270071
102723899_NT_AL,28,390,2,10920,70.33250830278595,61.49510904384205
102724231_NT_AL,10,501,2,5010,32.267936501552896,28.21341541297149
10274_NT_AL,155,3786,15,586830,3779.599436568121,3304.686340677457
10276_NT_AL,159,1812,8,288108,1855.6188921336131,1622.4572231138502
10277_NT_AL,157,4302,17,675414,4350.1429269979735,3803.540071404536
10278_NT_AL,155,1731,7,268305,1728.073593422984,1510.9382080593443
10282_NT_AL,161,360,2,57960,373.30331329940236,326.3971172327001
10283_NT_AL,155,1437,6,222735,1434.5706260825118,1254.314387626388
10284_NT_AL,158,525,3,82950,534.2565534538548,467.12630908303095
10285_NT_AL,161,717,3,115437,743.495765654643,650.074258488461
10286_NT_AL,157,675,3,105975,682.5538065373389,596.7897601576154
10289_NT_AL,50,339,2,16950,109.16996481064302,95.45257310376581
1028_NT_AL,51,813,4,41463,267.050988256265,233.49557749861015
10293_NT_AL,162,1461,6,236682,1524.3991511098886,1332.8558057430973
10294_NT_AL,158,1242,5,196236,1263.8983607422622,1105.0873826307131
10299_NT_AL,159,2904,12,461736,2973.9057741479096,2600.2294569109386
102_NT_AL,158,2262,9,357396,2301.8825217383232,2012.6470688491731
10302_NT_AL,158,315,2,49770,320.5539320723129,280.27578544981856
10313_NT_AL,153,3279,13,501687,3231.2184151007123,2825.2103270034786
10314_NT_AL,159,1197,5,190323,1225.8144668233635,1071.7887947391164
1031_NT_AL,161,513,3,82593,531.9572214516484,465.1158920565976
10324_NT_AL,147,1818,8,267246,1721.2528858870269,1504.9745340229497
10325_NT_AL,124,1122,5,139128,896.0825288598904,783.4882354442908
10327_NT_AL,156,975,4,152100,979.6313656459472,856.5390188249428
10330_NT_AL,156,549,3,85644,551.6078151175641,482.2973552152755
10335_NT_AL,161,2742,11,441462,2843.3269029637813,2486.058042922399
1033_NT_AL,158,633,3,100014,644.1607587357906,563.2208640943973
